308,speed=20-40TimeToCollision=0,speed=0-20TimeToCollision=0,left,20,0,slow down,0,0
615,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,15,0,slow down,0,0
915,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,10,0,speed up,0,0
1216,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,15,0,straight,0,0
1518,speed=0-20TimeToCollision=0,speed=20-40TimeToCollision=0,left,15,0,speed up,0,0
1820,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,left,20,0,speed up,0,0
2122,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,right,25,0,overtake,0,0
2426,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,right,25,0,slow down,0,0
2727,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,right,20,0,overtake,0,0
3027,speed=20-40TimeToCollision=0,speed=0-20TimeToCollision=0,right,20,0,slow down,0,0
3344,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,right,15,0,overtake,0,0
3637,speed=0-20TimeToCollision=0,speed=20-40TimeToCollision=0,right,15,0,speed up,0,0
3942,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=2,right,20,2,speed up,0,0
4246,speed=20-40TimeToCollision=2,speed=20-40TimeToCollision=1,right,25,1,speed up,0,0
4547,speed=20-40TimeToCollision=1,speed=20-40TimeToCollision=1,left,30,1,straight,0,0
4853,speed=20-40TimeToCollision=1,speed=0TimeToCollision=0,left,30,0,speed up,-100,-10
5157,speed=0TimeToCollision=0,speed=0TimeToCollision=0,left,0,0,slow down,-100,-10
5462,speed=0TimeToCollision=0,speed=0-20TimeToCollision=0,left,0,0,speed up,0,0
5767,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,5,0,speed up,0,0
6069,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,10,0,speed up,0,0
6377,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,15,0,slow down,0,0
6682,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,10,0,slow down,0,0
6983,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,5,0,speed up,0,0
7287,speed=0-20TimeToCollision=0,speed=0-20TimeToCollision=0,left,10,0,speed up,0,0
7588,speed=0-20TimeToCollision=0,speed=20-40TimeToCollision=0,left,15,0,speed up,0,0
7889,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,left,20,0,speed up,0,0
8187,speed=20-40TimeToCollision=0,speed=0TimeToCollision=0,left,25,0,stop,-100,-10
8493,speed=0TimeToCollision=0,speed=0TimeToCollision=0,right,0,0,overtake,-100,-10
