12320,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=2,left,60,2,slow down,4,0,0,40
12621,speed=AboveLimitTimeToCollision=2,speed=AboveLimitTimeToCollision=1,left,55,1,speed up,5,0,0,40
12922,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=1,right,60,1,overtake,3,0,0,40
13222,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=1,left,60,1,straight,1,0,0,40
13523,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=0,right,60,0,overtake,3,0,0,40
13825,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=0,right,60,0,overtake,3,0,0,40
14124,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=0,left,60,0,slow down,4,0,0,40
14425,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=0,left,55,0,speed up,5,0,0,40
14725,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=2,left,60,2,speed up,5,0,0,40
15027,speed=AboveLimitTimeToCollision=2,speed=AboveLimitTimeToCollision=2,left,65,2,slow down,4,0,0,40
15327,speed=AboveLimitTimeToCollision=2,speed=AboveLimitTimeToCollision=1,left,60,1,speed up,5,0,0,40
15628,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=1,left,65,1,slow down,4,0,0,40
15928,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=1,left,60,1,speed up,5,0,0,40
16229,speed=AboveLimitTimeToCollision=1,speed=AboveLimitTimeToCollision=0,left,65,0,speed up,5,0,0,40
16529,speed=AboveLimitTimeToCollision=0,speed=AboveLimitTimeToCollision=0,left,70,0,slow down,4,0,0,40
16830,speed=AboveLimitTimeToCollision=0,speed=0TimeToCollision=0,left,65,0,stop,2,-100,-9.995431765184527,40
17130,speed=0TimeToCollision=0,speed=0-(1/4)LimitTimeToCollision=0,left,0,0,speed up,5,0,0.4111411333925633,40
17431,speed=0-(1/4)LimitTimeToCollision=0,speed=0-(1/4)LimitTimeToCollision=0,right,5,0,overtake,3,0,0,40
17731,speed=0-(1/4)LimitTimeToCollision=0,speed=0-(1/4)LimitTimeToCollision=0,right,5,0,overtake,3,0,0,40
18032,speed=0-(1/4)LimitTimeToCollision=0,speed=0TimeToCollision=0,left,5,0,stop,2,-100,-9.995888588666075,40
18332,speed=0TimeToCollision=0,speed=0-(1/4)LimitTimeToCollision=0,left,0,0,speed up,5,0,0.37002702005330695,40
18633,speed=0-(1/4)LimitTimeToCollision=0,speed=(1/4)-(3/4)LimitTimeToCollision=0,left,5,0,speed up,5,0,0.1,40
18933,speed=(1/4)-(3/4)LimitTimeToCollision=0,speed=(1/4)-(3/4)LimitTimeToCollision=0,left,10,0,speed up,5,0,9.1,40
19234,speed=(1/4)-(3/4)LimitTimeToCollision=0,speed=(1/4)-(3/4)LimitTimeToCollision=0,left,15,0,speed up,5,0,8.280999999999999,40
19534,speed=(1/4)-(3/4)LimitTimeToCollision=0,speed=(1/4)-(3/4)LimitTimeToCollision=0,left,20,0,speed up,5,0,7.535709999999999,40
19835,speed=(1/4)-(3/4)LimitTimeToCollision=0,speed=(3/4)-(1)LimitTimeToCollision=0,left,25,0,speed up,5,100,16.954038999999998,40
20136,speed=(3/4)-(1)LimitTimeToCollision=0,speed=(3/4)-(1)LimitTimeToCollision=0,left,30,0,speed up,5,100,25.6429,40
20436,speed=(3/4)-(1)LimitTimeToCollision=0,speed=(3/4)-(1)LimitTimeToCollision=0,left,35,0,speed up,5,100,33.335039,40
