301,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,left,20,0,speed up,0,15.557714344899999
602,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,left,25,0,speed up,0,14.157520053858999
902,speed=20-40TimeToCollision=0,speed=20-40TimeToCollision=0,left,30,0,speed up,0,12.88334324901169
1202,speed=20-40TimeToCollision=0,speed=40-60TimeToCollision=0,left,35,0,speed up,100,21.9798751663483
1503,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,left,40,0,speed up,100,45.02282804363813
1803,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,left,45,0,speed up,100,50.9707735197107
2103,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,left,50,0,speed up,100,56.383403902936735
2403,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=2,left,55,2,speed up,100,61.854515610728576
2704,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=2,left,60,2,slow down,100,110.96014092578183
3004,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=2,left,55,2,slow down,100,110.97372824246146
3305,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=1,left,50,1,slow down,100,110.9586852602311
3605,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,45,1,overtake,100,108.49201562343697
3905,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,45,1,overtake,100,108.72773421732764
4206,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=0,right,45,0,overtake,100,108.47350595170215
4506,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,45,0,speed up,100,66.287609205763
4807,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,50,0,speed up,100,70.32172437724434
5107,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,55,0,speed up,100,73.99276918329235
5408,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=0,left,60,0,speed up,0,67.62716684039366
5708,speed=60+TimeToCollision=0,speed=40-60TimeToCollision=0,left,65,0,slow down,100,103.70698345715185
6009,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=2,left,60,2,speed up,0,61.97397372136507
6309,speed=60+TimeToCollision=2,speed=40-60TimeToCollision=2,left,65,2,slow down,100,110.96670770357275
6610,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=2,left,60,2,slow down,100,110.9724035868103
6910,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=1,left,55,1,slow down,100,110.9598982876463
7211,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,50,1,overtake,100,108.71089041604895
7511,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,50,1,overtake,100,108.92691027860455
7811,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=0,right,50,0,overtake,100,108.65395898795775
8112,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,50,0,speed up,100,66.39631608644221
8413,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,55,0,speed up,100,70.42064763866242
8714,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=0,right,60,0,speed up,0,64.41565270936769
9014,speed=60+TimeToCollision=0,speed=40-60TimeToCollision=0,left,65,0,slow down,100,103.98044163853034
9315,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=2,left,60,2,speed up,0,59.08375451546665
9615,speed=60+TimeToCollision=2,speed=40-60TimeToCollision=1,left,65,1,slow down,100,110.95657652309505
9916,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,60,1,overtake,100,108.87510267904156
10216,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,60,1,overtake,100,109.07634343792782
10517,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=0,right,60,0,overtake,100,108.75954663928971
10817,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=0,right,60,0,speed up,0,54.21518348030529
11118,speed=60+TimeToCollision=0,speed=40-60TimeToCollision=0,right,65,0,slow down,100,104.12454930948036
11418,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=0,right,60,0,speed up,0,49.83491062536957
11719,speed=60+TimeToCollision=0,speed=40-60TimeToCollision=0,left,65,0,slow down,100,104.21044348478601
12019,speed=40-60TimeToCollision=0,speed=60+TimeToCollision=2,left,60,2,speed up,0,45.96098532806356
12320,speed=60+TimeToCollision=2,speed=40-60TimeToCollision=2,left,65,2,slow down,100,110.97051785366202
12620,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=2,left,60,2,slow down,100,110.97350744175813
12921,speed=40-60TimeToCollision=2,speed=40-60TimeToCollision=1,left,55,1,slow down,100,110.96375216397522
13221,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,50,1,overtake,100,108.97118744175364
13522,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=1,right,50,1,overtake,100,109.16378057199582
13823,speed=40-60TimeToCollision=1,speed=40-60TimeToCollision=0,right,50,0,overtake,100,108.70701236807687
14123,speed=40-60TimeToCollision=0,speed=40-60TimeToCollision=0,right,50,0,speed up,100,51.82449664853784
